timestamp,min,max,avg,mode,number_of_packets
1710238500.0,-53.0,-46.0,-48.288288288288285,-48.0,555.0
1710238560.0,-51.0,-46.0,-48.11343804537522,-48.0,573.0
1710238620.0,-49.0,-46.0,-48.03533568904594,-48.0,566.0
1710238680.0,-49.0,-46.0,-48.05759162303665,-48.0,573.0
1710238740.0,-51.0,-46.0,-48.14561403508772,-48.0,570.0
1710238800.0,-52.0,-46.0,-48.147887323943664,-48.0,568.0
1710238860.0,-51.0,-46.0,-48.03776978417266,-48.0,556.0
1710238980.0,-49.0,-46.0,-48.057761732851986,-48.0,554.0
1710239040.0,-49.0,-45.0,-48.01903114186851,-48.0,578.0
1710239100.0,-49.0,-46.0,-48.18971631205674,-48.0,564.0
1710239160.0,-49.0,-46.0,-48.13732394366197,-48.0,568.0
1710239220.0,-50.0,-46.0,-48.040998217468804,-48.0,561.0
1710239280.0,-52.0,-45.0,-48.03514938488576,-48.0,569.0
1710239340.0,-49.0,-46.0,-48.163302752293575,-48.0,545.0
1710239400.0,-50.0,-46.0,-48.367201426024955,-48.0,561.0
1710239460.0,-51.0,-46.0,-48.194107452339686,-48.0,577.0
1710239520.0,-53.0,-46.0,-48.0304114490161,-48.0,559.0
1710239580.0,-52.0,-46.0,-48.05555555555556,-48.0,558.0
1710239640.0,-52.0,-46.0,-48.070422535211264,-48.0,568.0
1710239700.0,-49.0,-47.0,-48.08275862068965,-48.0,580.0
1710239760.0,-49.0,-45.0,-47.98434782608695,-48.0,575.0
1710239820.0,-50.0,-46.0,-48.09269162210339,-48.0,561.0
1710239880.0,-53.0,-46.0,-48.03130434782609,-48.0,575.0
1710239940.0,-53.0,-46.0,-48.18650088809947,-48.0,563.0
1710240000.0,-51.0,-46.0,-48.22282608695652,-48.0,552.0
1710240060.0,-49.0,-46.0,-48.03442340791739,-48.0,581.0
1710240120.0,-52.0,-45.0,-48.03986135181976,-48.0,577.0
1710240180.0,-51.0,-45.0,-47.984482758620686,-48.0,580.0
1710240240.0,-49.0,-46.0,-48.10320284697509,-48.0,562.0
1710240300.0,-53.0,-46.0,-48.12020905923345,-48.0,574.0
1710240360.0,-51.0,-46.0,-48.08916083916084,-48.0,572.0
1710240420.0,-52.0,-46.0,-47.98943661971831,-48.0,568.0
1710240480.0,-53.0,-46.0,-47.96907216494845,-48.0,582.0
1710240540.0,-53.0,-46.0,-48.01733102253033,-48.0,577.0
1710240600.0,-49.0,-46.0,-48.02197802197802,-48.0,546.0
1710240660.0,-52.0,-46.0,-47.95583038869258,-48.0,566.0
1710240720.0,-49.0,-46.0,-48.033138401559455,-48.0,513.0
1710240780.0,-50.0,-46.0,-48.141052631578944,-48.0,475.0
1710240840.0,-52.0,-46.0,-48.08719851576994,-48.0,539.0
1710240900.0,-52.0,-46.0,-48.09946714031972,-48.0,563.0
1710240960.0,-51.0,-46.0,-48.07442748091603,-48.0,524.0
1710241020.0,-53.0,-46.0,-48.0295652173913,-48.0,575.0
1710241080.0,-53.0,-46.0,-48.18588640275387,-48.0,581.0
1710241140.0,-52.0,-45.0,-48.02068965517241,-48.0,580.0
1710241200.0,-52.0,-45.0,-47.98965517241379,-48.0,580.0
1710241260.0,-53.0,-46.0,-48.03730017761989,-48.0,563.0
